Patch,Etiqueta
pozo_1_img_123_patch_1.png,Fino
pozo_1_img_123_patch_2.png,Arcilla
pozo_1_img_123_patch_3.png,Fino
pozo_1_img_123_patch_4.png,Fino
pozo_1_img_124_patch_1.png,Fino
pozo_1_img_124_patch_2.png,Fino
pozo_1_img_124_patch_3.png,Arcilla
pozo_1_img_124_patch_4.png,Fino
pozo_1_img_125_patch_1.png,Fino
pozo_1_img_125_patch_2.png,Grueso
pozo_1_img_125_patch_3.png,Grueso
pozo_1_img_125_patch_4.png,Grueso
pozo_1_img_135_patch_1.png,Grueso
pozo_1_img_135_patch_2.png,Grueso
pozo_1_img_135_patch_3.png,Arcilla
pozo_1_img_135_patch_4.png,Arcilla
pozo_1_img_136_patch_1.png,Arcilla
pozo_1_img_136_patch_2.png,Arcilla
pozo_1_img_136_patch_3.png,Arcilla
pozo_1_img_136_patch_4.png,Muy fino
pozo_1_img_1_patch_1.png,Fino
pozo_1_img_1_patch_2.png,Fino
pozo_1_img_1_patch_3.png,Fino
pozo_1_img_1_patch_4.png,Fino
pozo_1_img_4_patch_1.png,Fino
pozo_1_img_4_patch_2.png,Fino
pozo_1_img_4_patch_3.png,Fino
pozo_1_img_4_patch_4.png,Fino
pozo_1_img_5_patch_1.png,Fino
pozo_1_img_5_patch_2.png,Fino
pozo_1_img_5_patch_3.png,Fino
pozo_1_img_5_patch_4.png,Fino
pozo_1_img_6_patch_1.png,Fino
pozo_1_img_6_patch_2.png,Fino
pozo_1_img_6_patch_3.png,Fino
pozo_1_img_6_patch_4.png,Fino
pozo_1_img_7_patch_1.png,Fino
pozo_1_img_7_patch_2.png,Fino
pozo_1_img_7_patch_3.png,Fino
pozo_1_img_7_patch_4.png,Fino
pozo_1_img_8_patch_1.png,Fino
pozo_1_img_8_patch_2.png,Fino
pozo_1_img_8_patch_3.png,Fino
pozo_1_img_8_patch_4.png,Fino
pozo_1_img_9_patch_1.png,Fino
pozo_1_img_9_patch_2.png,Fino
pozo_1_img_9_patch_3.png,Fino
pozo_1_img_9_patch_4.png,Fino
pozo_1_img_10_patch_1.png,Fino
pozo_1_img_10_patch_2.png,Fino
pozo_1_img_10_patch_3.png,Fino
pozo_1_img_10_patch_4.png,Fino
pozo_1_img_11_patch_1.png,Fino
pozo_1_img_11_patch_2.png,Fino
pozo_1_img_11_patch_3.png,Fino
pozo_1_img_11_patch_4.png,Fino
pozo_1_img_12_patch_1.png,Fino
pozo_1_img_12_patch_2.png,Fino
pozo_1_img_12_patch_3.png,Fino
pozo_1_img_12_patch_4.png,Fino
pozo_1_img_13_patch_1.png,Fino
pozo_1_img_13_patch_2.png,Fino
pozo_1_img_13_patch_3.png,Fino
pozo_1_img_13_patch_4.png,Fino
pozo_1_img_14_patch_1.png,Fino
pozo_1_img_14_patch_2.png,Fino
pozo_1_img_14_patch_3.png,Fino
pozo_1_img_14_patch_4.png,Fino
pozo_1_img_65_patch_1.png,Fino
pozo_1_img_65_patch_2.png,Fino
pozo_1_img_65_patch_3.png,Fino
pozo_1_img_65_patch_4.png,Fino
pozo_1_img_119_patch_1.png,Fino
pozo_1_img_119_patch_2.png,Fino
pozo_1_img_119_patch_3.png,Fino
pozo_1_img_119_patch_4.png,Fino
pozo_1_img_120_patch_1.png,Fino
pozo_1_img_120_patch_2.png,Fino
pozo_1_img_120_patch_3.png,Fino
pozo_1_img_120_patch_4.png,Fino
pozo_1_img_121_patch_1.png,Fino
pozo_1_img_121_patch_2.png,Fino
pozo_1_img_121_patch_3.png,Fino
pozo_1_img_121_patch_4.png,Fino
pozo_1_img_122_patch_1.png,Fino
pozo_1_img_122_patch_2.png,Fino
