,Unnamed: 0,0-25%,25-50%,50-75%,75-100%,major_class
277,pozo_2_img_73.png,Muy grueso,Muy grueso,Grueso,Grueso,Muy grueso
278,pozo_2_img_75.png,Grueso,Grueso,Muy grueso,Muy grueso,Muy grueso
281,pozo_2_img_135.png,Grueso,Grueso,Muy grueso,Muy grueso,Muy grueso
288,pozo_2_img_30.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
289,pozo_2_img_31.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
290,pozo_2_img_32.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
291,pozo_2_img_33.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
292,pozo_2_img_34.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
293,pozo_2_img_35.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
306,pozo_2_img_36.png,Granulo o mayor,Granulo o mayor,Limo,Limo,Granulo o mayor
369,pozo_2_img_134.png,Muy grueso,Muy grueso,Muy grueso,Medio,Muy grueso
390,pozo_2_img_13.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
391,pozo_2_img_14.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
392,pozo_2_img_15.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
393,pozo_2_img_16.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
394,pozo_2_img_19.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
395,pozo_2_img_20.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
396,pozo_2_img_21.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
397,pozo_2_img_22.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
398,pozo_2_img_71.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
399,pozo_2_img_72.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
400,pozo_2_img_76.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
401,pozo_2_img_80.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
402,pozo_2_img_83.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
403,pozo_2_img_84.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
404,pozo_2_img_85.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
405,pozo_2_img_136.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
406,pozo_2_img_140.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
407,pozo_2_img_141.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
408,pozo_2_img_23.png,Muy grueso,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
414,pozo_3_img_235.png,Arcilla,Arcilla,Arcilla,Arcilla,Arcilla
415,pozo_3_img_236.png,Arcilla,Arcilla,Arcilla,Arcilla,Arcilla
416,pozo_3_img_237.png,Arcilla,Arcilla,Arcilla,Arcilla,Arcilla
417,pozo_3_img_238.png,Arcilla,Arcilla,Arcilla,Arcilla,Arcilla
418,pozo_3_img_239.png,Arcilla,Arcilla,Arcilla,Arcilla,Arcilla
421,pozo_3_img_104.png,Medio,Medio,Arcilla,Arcilla,Arcilla
423,pozo_3_img_105.png,Arcilla,Arcilla,Muy grueso,Muy grueso,Arcilla
440,pozo_3_img_73.png,Fino,Fino,Fino,Fino,Fino
441,pozo_3_img_97.png,Fino,Fino,Fino,Fino,Fino
442,pozo_3_img_98.png,Fino,Fino,Fino,Fino,Fino
443,pozo_3_img_99.png,Fino,Fino,Fino,Fino,Fino
444,pozo_3_img_100.png,Fino,Fino,Fino,Fino,Fino
445,pozo_3_img_101.png,Fino,Fino,Fino,Fino,Fino
446,pozo_3_img_102.png,Fino,Fino,Fino,Fino,Fino
447,pozo_3_img_132.png,Fino,Fino,Fino,Fino,Fino
448,pozo_3_img_133.png,Fino,Fino,Fino,Fino,Fino
449,pozo_3_img_142.png,Fino,Fino,Fino,Fino,Fino
450,pozo_3_img_143.png,Fino,Fino,Fino,Fino,Fino
451,pozo_3_img_144.png,Fino,Fino,Fino,Fino,Fino
452,pozo_3_img_145.png,Fino,Fino,Fino,Fino,Fino
453,pozo_3_img_146.png,Fino,Fino,Fino,Fino,Fino
454,pozo_3_img_147.png,Fino,Fino,Fino,Fino,Fino
455,pozo_3_img_148.png,Fino,Fino,Fino,Fino,Fino
456,pozo_3_img_149.png,Fino,Fino,Fino,Fino,Fino
457,pozo_3_img_150.png,Fino,Fino,Fino,Fino,Fino
458,pozo_3_img_151.png,Fino,Fino,Fino,Fino,Fino
459,pozo_3_img_152.png,Fino,Fino,Fino,Fino,Fino
460,pozo_3_img_155.png,Fino,Fino,Fino,Fino,Fino
461,pozo_3_img_156.png,Fino,Fino,Fino,Fino,Fino
462,pozo_3_img_187.png,Fino,Fino,Fino,Fino,Fino
463,pozo_3_img_188.png,Fino,Fino,Fino,Fino,Fino
464,pozo_3_img_191.png,Fino,Fino,Fino,Fino,Fino
465,pozo_3_img_192.png,Fino,Fino,Fino,Fino,Fino
466,pozo_3_img_193.png,Fino,Fino,Fino,Fino,Fino
467,pozo_3_img_194.png,Fino,Fino,Fino,Fino,Fino
468,pozo_3_img_196.png,Fino,Fino,Fino,Fino,Fino
469,pozo_3_img_201.png,Fino,Fino,Fino,Fino,Fino
470,pozo_3_img_202.png,Fino,Fino,Fino,Fino,Fino
471,pozo_3_img_203.png,Fino,Fino,Fino,Fino,Fino
472,pozo_3_img_204.png,Fino,Fino,Fino,Fino,Fino
473,pozo_3_img_205.png,Fino,Fino,Fino,Fino,Fino
474,pozo_3_img_214.png,Fino,Fino,Fino,Fino,Fino
475,pozo_3_img_215.png,Fino,Fino,Fino,Fino,Fino
476,pozo_3_img_240.png,no,Fino,Fino,Fino,Fino
477,pozo_3_img_241.png,Fino,Fino,Fino,Fino,Fino
478,pozo_3_img_242.png,Fino,Fino,Fino,Fino,Fino
479,pozo_3_img_243.png,Fino,Fino,Fino,Fino,Fino
480,pozo_3_img_244.png,Fino,Fino,Fino,Fino,Fino
481,pozo_3_img_245.png,Fino,Fino,Fino,Fino,Fino
482,pozo_3_img_154.png,Grueso,Fino,Fino,Fino,Fino
483,pozo_3_img_186.png,Fino,Fino,Fino,Fino,Fino
485,pozo_3_img_297.png,Granulo o mayor,Fino,Fino,Fino,Fino
486,pozo_3_img_206.png,Fino,Fino,Fino,Medio,Fino
510,pozo_3_img_90.png,Grueso,Grueso,Grueso,Grueso,Grueso
